Key,ShortName
3-L|4-10,Listen/Interpret
3-L|4-11,Listen/Interpret
3-L|4-12,Listen/Interpret
3-L|4-2,Listen/Interpret
3-L|4-3,Listen/Interpret
3-L|4-4,Listen/Interpret
3-L|4-5,Listen/Interpret
3-L|4-6,Listen/Interpret
3-L|4-7,Listen/Interpret
3-L|4-8,Listen/Interpret
3-L|4-9,Listen/Interpret
3-L|4-KG,Listen/Interpret
3-S|1-1,Language & Vocabulary Use
3-S|1-10,Language & Vocabulary Use
3-S|1-11,Language & Vocabulary Use
3-S|1-12,Language & Vocabulary Use
3-S|1-2,Language & Vocabulary Use
3-S|1-3,Language & Vocabulary Use
3-S|1-4,Language & Vocabulary Use
3-S|1-5,Language & Vocabulary Use
3-S|1-6,Language & Vocabulary Use
3-S|1-7,Language & Vocabulary Use
3-S|1-8,Language & Vocabulary Use
3-S|1-9,Language & Vocabulary Use
3-S|1-KG,Language & Vocabulary Use
3-S|2-1,Clarify Message
3-S|2-10,Clarify Message
3-S|2-11,Clarify Message
3-S|2-12,Clarify Message
3-S|2-2,Clarify Message
3-S|2-3,Clarify Message
3-S|2-4,Clarify Message
3-S|2-5,Clarify Message
3-S|2-6,Clarify Message
3-S|2-7,Clarify Message
3-S|2-8,Clarify Message
3-S|2-9,Clarify Message
3-S|2-KG,Clarify Message
3-S|3-1,Plan/Speak/Present
3-S|3-10,Plan/Speak/Present
3-S|3-11,Plan/Speak/Present
3-S|3-12,Plan/Speak/Present
3-S|3-2,Plan/Speak/Present
3-S|3-3,Plan/Speak/Present
3-S|3-4,Plan/Speak/Present
3-S|3-5,Plan/Speak/Present
3-S|3-6,Plan/Speak/Present
3-S|3-7,Plan/Speak/Present
3-S|3-8,Plan/Speak/Present
3-S|3-9,Plan/Speak/Present
3-S|3-KG,Plan/Speak/Present
4-CR|1-1,Plan/Research
4-CR|1-10,Plan/Research
4-CR|1-11,Plan/Research
4-CR|1-12,Plan/Research
4-CR|1-2,Plan/Research
4-CR|1-3,Plan/Research
4-CR|1-4,Plan/Research
4-CR|1-5,Plan/Research
4-CR|1-6,Plan/Research
4-CR|1-7,Plan/Research
4-CR|1-8,Plan/Research
4-CR|1-9,Plan/Research
4-CR|1-KG,Plan/Research
4-CR|2-1,Interpret & Integrate Information
4-CR|2-10,Analyze/Integrate Information
4-CR|2-11,Analyze/Integrate Information
4-CR|2-12,Analyze/Integrate Information
4-CR|2-2,Interpret & Integrate Information
4-CR|2-3,Interpret & Integrate Information
4-CR|2-4,Interpret & Integrate Information
4-CR|2-5,Interpret & Integrate Information
4-CR|2-6,Analyze/Integrate Information
4-CR|2-7,Analyze/Integrate Information
4-CR|2-8,Analyze/Integrate Information
4-CR|2-9,Analyze/Integrate Information
4-CR|2-KG,Interpret & Integrate Information
4-CR|3-1,Evaluate Information/Sources
4-CR|3-10,Evaluate Information/Sources
4-CR|3-11,Evaluate Information/Sources
4-CR|3-12,Evaluate Information/Sources
4-CR|3-2,Evaluate Information/Sources
4-CR|3-3,Evaluate Information/Sources
4-CR|3-4,Evaluate Information/Sources
4-CR|3-5,Evaluate Information/Sources
4-CR|3-6,Evaluate Information/Sources
4-CR|3-7,Evaluate Information/Sources
4-CR|3-8,Evaluate Information/Sources
4-CR|3-9,Evaluate Information/Sources
4-CR|3-KG,Evaluate Information/Sources
4-CR|4-1,Use Evidence
4-CR|4-10,Use Evidence
4-CR|4-11,Use Evidence
4-CR|4-12,Use Evidence
4-CR|4-2,Use Evidence
4-CR|4-3,Use Evidence
4-CR|4-4,Use Evidence
4-CR|4-5,Use Evidence
4-CR|4-6,Use Evidence
4-CR|4-7,Use Evidence
4-CR|4-8,Use Evidence
4-CR|4-9,Use Evidence
4-CR|4-KG,Use Evidence
4-CR|5-1,Language & Vocabulary Use
4-CR|5-10,Language & Vocabulary Use
4-CR|5-11,Language & Vocabulary Use
4-CR|5-12,Language & Vocabulary Use
4-CR|5-2,Language & Vocabulary Use
4-CR|5-3,Language & Vocabulary Use
4-CR|5-4,Language & Vocabulary Use
4-CR|5-5,Language & Vocabulary Use
4-CR|5-6,Language & Vocabulary Use
4-CR|5-7,Language & Vocabulary Use
4-CR|5-8,Language & Vocabulary Use
4-CR|5-9,Language & Vocabulary Use
4-CR|5-KG,Language & Vocabulary Use
4-CR|6-1,Edit/Clarify
4-CR|6-10,Edit/Clarify
4-CR|6-11,Edit/Clarify
4-CR|6-12,Edit/Clarify
4-CR|6-2,Edit/Clarify
4-CR|6-3,Edit/Clarify
4-CR|6-4,Edit/Clarify
4-CR|6-5,Edit/Clarify
4-CR|6-6,Edit/Clarify
4-CR|6-7,Edit/Clarify
4-CR|6-8,Edit/Clarify
4-CR|6-9,Edit/Clarify
4-CR|6-KG,Edit/Clarify
4-CR|7-1,Technology
4-CR|7-10,Technology
4-CR|7-11,Technology
4-CR|7-12,Technology
4-CR|7-2,Technology
4-CR|7-3,Technology
4-CR|7-4,Technology
4-CR|7-5,Technology
4-CR|7-6,Technology
4-CR|7-7,Technology
4-CR|7-8,Technology
4-CR|7-9,Technology
4-CR|7-KG,Technology
NA|NA-1,Standards not listed within an SBAC claim
NA|NA-10,Standards not listed within an SBAC claim
NA|NA-11,Standards not listed within an SBAC claim
NA|NA-12,Standards not listed within an SBAC claim
NA|NA-2,Standards not listed within an SBAC claim
NA|NA-3,Standards not listed within an SBAC claim
NA|NA-4,Standards not listed within an SBAC claim
NA|NA-5,Standards not listed within an SBAC claim
NA|NA-6,Standards not listed within an SBAC claim
NA|NA-7,Standards not listed within an SBAC claim
NA|NA-8,Standards not listed within an SBAC claim
NA|NA-9,NA-9
NA|NA-KG,Standards not listed within an SBAC claim
1-IT|10-10|10.L.4a,1-IT|10-10|10.L.4a
1-IT|10-10|10.L.4b,1-IT|10-10|10.L.4b
1-IT|10-10|10.L.4c,1-IT|10-10|10.L.4c
1-IT|10-10|10.L.4d,1-IT|10-10|10.L.4d
1-IT|10-10|10.L.5b,1-IT|10-10|10.L.5b
1-IT|10-10|10.L.6,1-IT|10-10|10.L.6
1-IT|10-10|10.RI.4,1-IT|10-10|10.RI.4
1-IT|10-11|11-12.L.4a,1-IT|10-11|11-12.L.4a
1-IT|10-11|11-12.L.4b,1-IT|10-11|11-12.L.4b
1-IT|10-11|11-12.L.4c,1-IT|10-11|11-12.L.4c
1-IT|10-11|11-12.L.4d,1-IT|10-11|11-12.L.4d
